date,createdAt,timestamp,context,value
2024-05-13 18:06:13.353000-06:00,1715645173353,1715645173353,{},38.0
2024-05-13 18:06:13.046000-06:00,1715645173046,1715645173046,{},38.0
2024-05-13 18:06:07.572000-06:00,1715645167572,1715645167572,{},38.0
2024-05-13 18:06:06.553000-06:00,1715645166553,1715645166553,{},38.0
2024-05-13 18:06:05.534000-06:00,1715645165534,1715645165534,{},38.0
2024-05-13 18:06:04.511000-06:00,1715645164511,1715645164511,{},38.0
2024-05-13 18:06:03.333000-06:00,1715645163333,1715645163333,{},37.0
2024-05-13 18:06:02.419000-06:00,1715645162419,1715645162419,{},38.0
2024-05-13 18:06:01.256000-06:00,1715645161256,1715645161256,{},38.0
2024-05-13 18:06:00.345000-06:00,1715645160345,1715645160345,{},38.0
2024-05-13 18:05:59.291000-06:00,1715645159291,1715645159291,{},37.0
2024-05-13 18:05:58.135000-06:00,1715645158135,1715645158135,{},38.0
2024-05-13 18:05:57.083000-06:00,1715645157083,1715645157083,{},37.0
2024-05-13 18:05:56.198000-06:00,1715645156198,1715645156198,{},38.0
2024-05-13 18:05:55.159000-06:00,1715645155159,1715645155159,{},38.0
2024-05-13 18:05:54.143000-06:00,1715645154143,1715645154143,{},37.0
2024-05-13 18:05:53.062000-06:00,1715645153062,1715645153062,{},38.0
2024-05-13 18:05:52.055000-06:00,1715645152055,1715645152055,{},38.0
2024-05-13 18:05:51.015000-06:00,1715645151015,1715645151015,{},38.0
2024-05-13 18:05:49.843000-06:00,1715645149843,1715645149843,{},37.0
2024-05-13 18:05:48.957000-06:00,1715645148957,1715645148957,{},38.0
2024-05-13 18:05:47.892000-06:00,1715645147892,1715645147892,{},38.0
2024-05-13 18:05:46.839000-06:00,1715645146839,1715645146839,{},38.0
2024-05-13 18:05:45.817000-06:00,1715645145817,1715645145817,{},38.0
2024-05-13 18:05:44.783000-06:00,1715645144783,1715645144783,{},38.0
2024-05-13 18:05:43.773000-06:00,1715645143773,1715645143773,{},38.0
2024-05-13 18:05:42.715000-06:00,1715645142715,1715645142715,{},38.0
2024-05-13 18:05:41.714000-06:00,1715645141714,1715645141714,{},38.0
2024-05-13 18:05:40.651000-06:00,1715645140651,1715645140651,{},37.0
2024-05-13 18:05:39.611000-06:00,1715645139611,1715645139611,{},37.0
2024-05-13 18:05:38.567000-06:00,1715645138567,1715645138567,{},37.0
2024-05-13 18:05:37.547000-06:00,1715645137547,1715645137547,{},38.0
2024-05-13 18:05:36.516000-06:00,1715645136516,1715645136516,{},38.0
2024-05-13 18:05:35.449000-06:00,1715645135449,1715645135449,{},38.0
2024-05-13 18:05:34.454000-06:00,1715645134454,1715645134454,{},37.0
2024-05-13 18:05:33.406000-06:00,1715645133406,1715645133406,{},38.0
2024-05-13 18:05:32.222000-06:00,1715645132222,1715645132222,{},37.0
2024-05-13 18:05:31.337000-06:00,1715645131337,1715645131337,{},37.0
2024-05-13 18:05:30.158000-06:00,1715645130158,1715645130158,{},37.0
2024-05-13 18:05:29.229000-06:00,1715645129229,1715645129229,{},38.0
2024-05-13 18:05:28.207000-06:00,1715645128207,1715645128207,{},38.0
2024-05-13 18:05:27.174000-06:00,1715645127174,1715645127174,{},37.0
2024-05-13 18:05:26.168000-06:00,1715645126168,1715645126168,{},37.0
2024-05-13 18:05:24.982000-06:00,1715645124982,1715645124982,{},38.0
2024-05-13 18:05:24.065000-06:00,1715645124065,1715645124065,{},37.0
2024-05-13 18:05:23.015000-06:00,1715645123015,1715645123015,{},37.0
2024-05-13 18:05:21.987000-06:00,1715645121987,1715645121987,{},36.0
2024-05-13 18:05:20.977000-06:00,1715645120977,1715645120977,{},37.0
2024-05-13 18:05:19.988000-06:00,1715645119988,1715645119988,{},37.0
2024-05-13 18:05:18.897000-06:00,1715645118897,1715645118897,{},37.0
2024-05-13 18:05:17.846000-06:00,1715645117846,1715645117846,{},37.0
2024-05-13 18:05:16.801000-06:00,1715645116801,1715645116801,{},37.0
2024-05-13 18:05:15.779000-06:00,1715645115779,1715645115779,{},38.0
2024-05-13 18:05:14.768000-06:00,1715645114768,1715645114768,{},37.0
2024-05-13 18:05:13.711000-06:00,1715645113711,1715645113711,{},37.0
2024-05-13 18:05:12.649000-06:00,1715645112649,1715645112649,{},37.0
2024-05-13 18:05:11.631000-06:00,1715645111631,1715645111631,{},37.0
2024-05-13 18:05:10.595000-06:00,1715645110595,1715645110595,{},38.0
2024-05-13 18:05:09.563000-06:00,1715645109563,1715645109563,{},37.0
2024-05-13 18:05:08.500000-06:00,1715645108500,1715645108500,{},38.0
2024-05-13 18:05:07.475000-06:00,1715645107475,1715645107475,{},38.0
2024-05-13 18:05:06.437000-06:00,1715645106437,1715645106437,{},38.0
2024-05-13 18:05:05.414000-06:00,1715645105414,1715645105414,{},37.0
2024-05-13 18:05:04.359000-06:00,1715645104359,1715645104359,{},37.0
2024-05-13 18:05:03.346000-06:00,1715645103346,1715645103346,{},37.0
2024-05-13 18:05:02.281000-06:00,1715645102281,1715645102281,{},37.0
2024-05-13 18:05:01.257000-06:00,1715645101257,1715645101257,{},37.0
2024-05-13 18:05:00.214000-06:00,1715645100214,1715645100214,{},38.0
2024-05-13 18:04:59.171000-06:00,1715645099171,1715645099171,{},37.0
2024-05-13 18:04:58.168000-06:00,1715645098168,1715645098168,{},37.0
2024-05-13 18:04:57.115000-06:00,1715645097115,1715645097115,{},37.0
2024-05-13 18:04:56.086000-06:00,1715645096086,1715645096086,{},37.0
2024-05-13 18:04:55.032000-06:00,1715645095032,1715645095032,{},37.0
2024-05-13 18:04:54.289000-06:00,1715645094289,1715645094289,{},37.0
2024-05-13 18:04:52.978000-06:00,1715645092978,1715645092978,{},37.0
2024-05-13 18:04:51.939000-06:00,1715645091939,1715645091939,{},37.0
